date_in,date_out,ticker,entry_px,exit_px,gross_ret,net_ret
2021-04-05,2021-04-20,ICICIPRULI,438.36383925354016,476.12902266052254,0.08615031630184222,0.08615031630184222
2021-04-05,2021-04-20,ONGC,103.84414143661502,102.4581399799347,-0.013346939341073116,-0.013346939341073116
2021-04-05,2021-04-20,DRREDDY,914.7921365521241,1027.420532178955,0.123119112120192,0.123119112120192
2021-04-05,2021-04-20,ADANIPORTS,745.0779725000001,717.7050976605225,-0.03673826881182907,-0.03673826881182907
2021-04-05,2021-04-20,M&M,777.4006667535401,808.0595428210449,0.039437676578716774,0.039437676578716774
2021-04-05,2021-04-20,BAJAJ-AUTO,3612.210285,3587.1804737158204,-0.006929223192824074,-0.006929223192824074
2021-04-06,2021-04-22,TATASTEEL,86.61374952606202,91.78894599197388,0.05975028784955949,0.05975028784955949
2021-04-06,2021-04-22,JSWSTEEL,539.4976967535401,638.3087425,0.1831537860885435,0.1831537860885435
2021-04-06,2021-04-22,M&M,784.07596649292,796.6531551605225,0.01604077819635097,0.01604077819635097
2021-04-06,2021-04-22,HINDALCO,351.7852267535401,354.49421758026125,0.007700695255798973,0.007700695255798973
2021-04-06,2021-04-22,SBILIFE,900.9696532464601,910.9161603210448,0.011039780350808215,0.011039780350808215
2021-04-06,2021-04-22,ONGC,104.34604643661501,102.70718747993469,-0.01570599953373264,-0.01570599953373264
2021-04-06,2021-04-22,DRREDDY,927.3698439929201,1036.0076851147462,0.11714618695608081,0.11714618695608081
2021-04-06,2021-04-22,ICICIPRULI,450.20878500000003,490.87262250000003,0.09032217685401234,0.09032217685401234
2021-04-06,2021-04-22,BAJAJ-AUTO,3629.2750550000005,3667.3737687158205,0.010497609891356063,0.010497609891356063
2021-04-06,2021-04-22,BAJAJFINSV,955.5769417535402,981.630692878418,0.027264943288677124,0.027264943288677124
2021-04-07,2021-04-23,JSWSTEEL,564.44235074646,632.9791503210449,0.12142391421187093,0.12142391421187093
2021-04-07,2021-04-23,TATASTEEL,87.81831846267701,92.20734396789553,0.04997847353549423,0.04997847353549423
2021-04-07,2021-04-23,HINDALCO,353.5418942535401,348.168405,-0.015199016978979296,-0.015199016978979296
2021-04-07,2021-04-23,M&M,799.33389074646,774.936225321045,-0.030522495927992277,-0.030522495927992277
2021-04-07,2021-04-23,SBILIFE,921.999485,919.3339171789552,-0.002891073004281375,-0.002891073004281375
2021-04-07,2021-04-23,BAJAJ-AUTO,3694.22151298584,3658.507775,-0.009667459804535206,-0.009667459804535206
2021-04-07,2021-04-23,DRREDDY,942.1058287084962,1009.4792013531494,0.07151359283809255,0.07151359283809255
2021-04-07,2021-04-23,NMDC,35.903768354568484,35.38874683120728,-0.014344497721662464,-0.014344497721662464
2021-04-07,2021-04-23,BAJAJFINSV,957.5946096563722,987.8867344610596,0.03163355818758995,0.03163355818758995
2021-04-07,2021-04-23,ONGC,105.04871803169252,102.00985752006531,-0.028928106582989388,-0.028928106582989388
2021-04-08,2021-04-26,TATASTEEL,92.189906723938,93.7165712098694,0.01655999599286928,0.01655999599286928
2021-04-08,2021-04-26,BAJAJ-AUTO,3663.7057870141607,3724.6050787841796,0.016622320489236175,0.016622320489236175
2021-04-08,2021-04-26,JSWSTEEL,616.43969649292,653.3013898394776,0.0597977280766846,0.0597977280766846
2021-04-08,2021-04-26,SBILIFE,911.9613850000001,938.909075,0.02954915684286341,0.02954915684286341
2021-04-08,2021-04-26,NMDC,37.086843816108704,36.40969869506836,-0.018258364728956256,-0.018258364728956256
2021-04-08,2021-04-26,DRREDDY,941.383053649292,1009.4792013531494,0.07233627951967181,0.07233627951967181
2021-04-08,2021-04-26,HINDALCO,366.59142425354014,347.02279258026124,-0.053379949389500525,-0.053379949389500525
2021-04-08,2021-04-26,ONGC,103.9947144683075,102.40833504013061,-0.015254423614580404,-0.015254423614580404
2021-04-08,2021-04-26,BAJAJFINSV,969.158459194336,996.3643210894776,0.028071634351474195,0.028071634351474195
2021-04-08,2021-04-26,MUTHOOTFIN,1241.71297,1170.2742025,-0.0575324323945815,-0.0575324323945815
2021-04-09,2021-04-27,TATASTEEL,90.29270643661499,97.40247877006531,0.07874138027351463,0.07874138027351463
2021-04-09,2021-04-27,BAJAJ-AUTO,3665.2115020141605,3771.077245,0.028883938328705616,0.028883938328705616
2021-04-09,2021-04-27,NMDC,37.35689269241333,37.37959916557312,0.0006078255316026571,0.0006078255316026571
2021-04-09,2021-04-27,JSWSTEEL,623.3660100000001,663.3629453210449,0.06416284282334361,0.06416284282334361
2021-04-09,2021-04-27,ICICIPRULI,457.23545500000006,524.6932851605225,0.14753411928767068,0.14753411928767068
2021-04-09,2021-04-27,DRREDDY,955.6873461492921,1007.5963876605225,0.05431592426161669,0.05431592426161669
2021-04-09,2021-04-27,SBILIFE,913.5674564929201,925.2114625,0.012745644477945683,0.012745644477945683
2021-04-09,2021-04-27,SIEMENS,1089.4972899975587,1078.3029550756837,-0.01027477078157768,-0.01027477078157768
2021-04-09,2021-04-27,BAJAJFINSV,966.5736974584962,1005.290205378418,0.040055412248153344,0.040055412248153344
2021-04-09,2021-04-27,POWERGRID,117.61519050796511,121.40134584999085,0.032191040338189314,0.032191040338189314
2021-04-12,2021-04-28,JSWSTEEL,606.4518360070801,660.125327821045,0.08850412947441089,0.08850412947441089
2021-04-12,2021-04-28,TATASTEEL,85.47943932464601,96.76989599197388,0.13208388773407087,0.13208388773407087
2021-04-12,2021-04-28,SBILIFE,875.7740467535401,926.8552003210448,0.05832686382618957,0.05832686382618957
2021-04-12,2021-04-28,SIEMENS,1019.2308963360597,1093.7700451989747,0.07313274070759523,0.07313274070759523
2021-04-12,2021-04-28,BAJAJ-AUTO,3554.49121,3874.9300525,0.0901504107250275,0.0901504107250275
2021-04-12,2021-04-28,NMDC,34.52780302665711,37.660362828216556,0.0907257203460341,0.0907257203460341
2021-04-12,2021-04-28,ICICIPRULI,445.39050925354013,518.865537178955,0.16496765512259493,0.16496765512259493
2021-04-12,2021-04-28,POWERGRID,113.57799369590761,123.78286256874085,0.08984899751051811,0.08984899751051811
2021-04-12,2021-04-28,HINDALCO,337.48093425354006,361.21850008026126,0.07033750181836296,0.07033750181836296
2021-04-12,2021-04-28,BAJFINANCE,452.8186971267701,526.0780038531494,0.16178507466945402,0.16178507466945402
2021-04-13,2021-04-29,JSWSTEEL,632.75160899292,723.732035,0.14378537282881565,0.14378537282881565
2021-04-13,2021-04-29,TATASTEEL,88.23490053169252,102.74205777809145,0.16441518218959406,0.16441518218959406
2021-04-13,2021-04-29,NMDC,35.59513997329712,39.30664675865174,0.10427004327385503,0.10427004327385503
2021-04-13,2021-04-29,BAJAJ-AUTO,3616.17528548584,3821.8330768579103,0.05687163235629478,0.05687163235629478
2021-04-13,2021-04-29,BAJFINANCE,474.67665375000007,546.395257557373,0.151089385249491,0.151089385249491
2021-04-13,2021-04-29,AXISBANK,663.51841,716.659110321045,0.08008926281494588,0.08008926281494588
2021-04-13,2021-04-29,ICICIPRULI,460.64840287323,522.501655,0.1342743223268963,0.1342743223268963
2021-04-13,2021-04-29,POWERGRID,117.86928297760011,123.36259491249085,0.04660511879023388,0.04660511879023388
2021-04-13,2021-04-29,SBIN,342.29921,358.03067991973876,0.04595824197122367,0.04595824197122367
2021-04-13,2021-04-29,ITC,209.49514393661502,203.5216200401306,-0.028513901488293025,-0.028513901488293025
2021-04-15,2021-04-30,TATASTEEL,90.1622138936615,103.00604752006531,0.1424525094464959,0.1424525094464959
2021-04-15,2021-04-30,JSWSTEEL,631.49684649292,715.1149671789551,0.13241257046716326,0.13241257046716326
2021-04-15,2021-04-30,NMDC,36.34099380931854,39.753314149131775,0.09389727638483714,0.09389727638483714
2021-04-15,2021-04-30,BAJAJ-AUTO,3611.2064750000004,3819.1434125,0.057581015912417266,0.057581015912417266
