date,ticker,in_universe_flag
2021-11-02,NTPC,True
2021-11-02,ONGC,True
2021-11-02,PEL,True
2021-11-02,PIDILITIND,True
2021-11-02,POWERGRID,True
2021-11-02,RELIANCE,True
2021-11-02,SBILIFE,True
2021-11-02,SBIN,True
2021-11-02,SIEMENS,True
2021-11-02,SUNPHARMA,True
2021-11-02,TATASTEEL,True
2021-11-02,TCS,True
2021-11-02,TECHM,True
2021-11-02,TITAN,True
2021-11-02,ULTRACEMCO,True
2021-11-02,UPL,True
2021-11-02,VOLTAS,True
2021-11-02,WIPRO,True
2021-11-03,ADANIGREEN,True
2021-11-03,ADANIPORTS,True
2021-11-03,APOLLOHOSP,True
2021-11-03,ASIANPAINT,True
2021-11-03,AXISBANK,True
2021-11-03,BAJAJ-AUTO,True
2021-11-03,BAJAJFINSV,True
2021-11-03,BAJFINANCE,True
2021-11-03,BANDHANBNK,True
2021-11-03,BHARTIARTL,True
2021-11-03,BRITANNIA,True
2021-11-03,COALINDIA,True
2021-11-03,DIVISLAB,True
2021-11-03,DLF,True
2021-11-03,DRREDDY,True
2021-11-03,EICHERMOT,True
2021-11-03,GODREJCP,True
2021-11-03,GRASIM,True
2021-11-03,HAVELLS,True
2021-11-03,HCLTECH,True
2021-11-03,HDFCBANK,True
2021-11-03,HEROMOTOCO,True
2021-11-03,HINDALCO,True
2021-11-03,HINDUNILVR,True
2021-11-03,ICICIBANK,True
2021-11-03,ICICIGI,True
2021-11-03,ICICIPRULI,True
2021-11-03,INDUSINDBK,True
2021-11-03,INFY,True
2021-11-03,ITC,True
2021-11-03,JSWSTEEL,True
2021-11-03,KOTAKBANK,True
2021-11-03,LT,True
2021-11-03,M&M,True
2021-11-03,MARUTI,True
2021-11-03,MUTHOOTFIN,True
2021-11-03,NESTLEIND,True
2021-11-03,NMDC,True
2021-11-03,NTPC,True
2021-11-03,ONGC,True
2021-11-03,PEL,True
2021-11-03,PIDILITIND,True
2021-11-03,POWERGRID,True
2021-11-03,RELIANCE,True
2021-11-03,SBILIFE,True
2021-11-03,SBIN,True
2021-11-03,SIEMENS,True
2021-11-03,SUNPHARMA,True
2021-11-03,TATASTEEL,True
2021-11-03,TCS,True
2021-11-03,TECHM,True
2021-11-03,TITAN,True
2021-11-03,ULTRACEMCO,True
2021-11-03,UPL,True
2021-11-03,VOLTAS,True
2021-11-03,WIPRO,True
2021-11-04,ADANIGREEN,True
2021-11-04,ADANIPORTS,True
2021-11-04,APOLLOHOSP,True
2021-11-04,ASIANPAINT,True
2021-11-04,AXISBANK,True
2021-11-04,BAJAJ-AUTO,True
2021-11-04,BAJAJFINSV,True
2021-11-04,BAJFINANCE,True
2021-11-04,BANDHANBNK,True
2021-11-04,BHARTIARTL,True
2021-11-04,BRITANNIA,True
2021-11-04,COALINDIA,True
2021-11-04,DIVISLAB,True
2021-11-04,DLF,True
2021-11-04,DRREDDY,True
2021-11-04,EICHERMOT,True
2021-11-04,GODREJCP,True
2021-11-04,GRASIM,True
2021-11-04,HAVELLS,True
2021-11-04,HCLTECH,True
2021-11-04,HDFCBANK,True
2021-11-04,HEROMOTOCO,True
2021-11-04,HINDALCO,True
2021-11-04,HINDUNILVR,True
2021-11-04,ICICIBANK,True
2021-11-04,ICICIGI,True
2021-11-04,ICICIPRULI,True
2021-11-04,INDUSINDBK,True
2021-11-04,INFY,True
2021-11-04,ITC,True
2021-11-04,JSWSTEEL,True
2021-11-04,KOTAKBANK,True
2021-11-04,LT,True
2021-11-04,M&M,True
2021-11-04,MARUTI,True
2021-11-04,MUTHOOTFIN,True
2021-11-04,NESTLEIND,True
2021-11-04,NMDC,True
2021-11-04,NTPC,True
2021-11-04,ONGC,True
2021-11-04,PEL,True
2021-11-04,PIDILITIND,True
2021-11-04,POWERGRID,True
2021-11-04,RELIANCE,True
2021-11-04,SBILIFE,True
2021-11-04,SBIN,True
2021-11-04,SIEMENS,True
2021-11-04,SUNPHARMA,True
2021-11-04,TATASTEEL,True
2021-11-04,TCS,True
2021-11-04,TECHM,True
2021-11-04,TITAN,True
2021-11-04,ULTRACEMCO,True
2021-11-04,UPL,True
2021-11-04,VOLTAS,True
